unit,rmse,mse,r2,n_test,d,alpha,train_frac
0,2.0056960745115525e-09,4.022816743311052e-18,0.0,200,160,10.0,0.7
1,1.2940921809323627e-08,1.674674572750279e-16,-2.0280930459489808,137,160,10.0,0.7
2,1.0560024988602388e-09,1.1151412775990688e-18,0.0,191,160,10.0,0.7
3,4.286354249931412e-10,1.8372832755905077e-19,0.0,238,160,10.0,0.7
4,7.229048493553782e-10,5.22591421221522e-19,0.0,200,160,10.0,0.7
5,1.4469114017415886e-09,2.093552604489809e-18,0.0,137,160,10.0,0.7
6,1.0872837090039668e-11,1.1821858638654225e-22,0.0,191,160,10.0,0.7
7,7.655537613572581e-10,5.860725615282458e-19,0.0,238,160,10.0,0.7
8,1.6402871595666933e-09,2.6905419658393707e-18,0.0,316,160,10.0,0.7
9,1.701676344461865e-10,2.895702381301096e-20,0.0,200,160,10.0,0.7
10,1.710171277851112e-10,2.9246857995869054e-20,0.0,137,160,10.0,0.7
11,9.948243693004193e-10,9.89675525753977e-19,0.0,191,160,10.0,0.7
12,3.917237881140017e-10,1.5344752617438327e-19,0.0,316,160,10.0,0.7
13,1.9453540042160195e-10,3.784402201719301e-20,0.0,238,160,10.0,0.7
14,4.1806502330036624e-11,1.7477836370713576e-21,0.0,200,160,10.0,0.7
15,4.632768468462019e-11,2.1462543682375922e-21,0.0,137,160,10.0,0.7
16,5.0706406173456697e-11,2.5711396270275674e-21,0.0,191,160,10.0,0.7
17,5.673661979883892e-11,3.219044026198e-21,0.0,316,160,10.0,0.7
18,1.99886422503115e-11,3.9954581901093806e-22,0.0,238,160,10.0,0.7
19,1.785894039914531e-09,3.189417521802245e-18,0.0,200,160,10.0,0.7
20,3.348047309240032e-08,1.1209420784909417e-15,0.0,137,160,10.0,0.7
21,3.816938977474603e-09,1.4569023157764868e-17,0.0,191,160,10.0,0.7
22,1.3003515956849255e-09,1.6909142724003319e-18,0.0,316,160,10.0,0.7
23,2.5145826440237866e-05,6.323125873625658e-10,-331.2288869590071,238,160,10.0,0.7
24,3.106809958510996e-10,9.652268118303098e-20,0.0,200,160,10.0,0.7
25,2.990836403716443e-10,8.945102393795505e-20,0.0,137,160,10.0,0.7
26,8.021128820932456e-10,6.43385075619933e-19,0.0,191,160,10.0,0.7
27,7.522788970071083e-10,5.659235388822314e-19,0.0,316,160,10.0,0.7
28,4.233820781865145e-10,1.7925238412953187e-19,0.0,238,160,10.0,0.7
29,1.0234339990195623e-09,1.0474171503491733e-18,0.0,200,160,10.0,0.7
30,1.1624996020885553e-09,1.3514053248560493e-18,0.0,137,160,10.0,0.7
31,1.1386839560609625e-09,1.2966011517906442e-18,0.0,191,160,10.0,0.7
32,1.3821573243882955e-09,1.910358869360212e-18,0.0,316,160,10.0,0.7
33,9.711042630968369e-10,9.430434898048505e-19,0.0,238,160,10.0,0.7
34,3.1900475155925016e-09,1.017640315173789e-17,0.0,316,160,10.0,0.7
35,2.270790607766614e-09,5.156489984321068e-18,0.0,137,160,10.0,0.7
36,7.881477927797931e-10,6.211769432636596e-19,0.0,191,160,10.0,0.7
37,2.0381428170450527e-09,4.1540261426723426e-18,0.0,316,160,10.0,0.7
38,1.0664108783306034e-09,1.1372321614218487e-18,0.0,200,160,10.0,0.7
39,2.12067828809367e-09,4.4972764015918984e-18,0.0,137,160,10.0,0.7
40,1.093344878334849e-09,1.1954030229810455e-18,0.0,191,160,10.0,0.7
41,3.321269343035198e-10,1.1030830048985456e-19,0.0,316,160,10.0,0.7
42,7.11796664359324e-10,5.066544913930601e-19,0.0,238,160,10.0,0.7
43,1.7698231828972236e-09,3.132274098720459e-18,0.0,200,160,10.0,0.7
44,1.9016231997742752e-05,3.6161707939197537e-10,-1.2877302126451249,137,160,10.0,0.7
45,5.613108513857634e-08,3.150698718834106e-15,-0.7798304308664887,191,160,10.0,0.7
46,2.9688533787153915e-06,8.814090384309796e-12,-16661.657121167587,316,160,10.0,0.7
47,4.13166620115051e-05,1.7070665597729484e-09,-3.5827141516494443,218,160,10.0,0.7
48,2.060356105740569e-07,4.245067282462443e-14,0.6319189776239281,200,160,10.0,0.7
49,1.3364941106257823e-09,1.786216507737401e-18,0.0,137,160,10.0,0.7
50,6.071173246138201e-09,3.685914458462426e-17,0.0,191,160,10.0,0.7
51,0.0001316893486556195,1.7342084549341316e-08,-1.0132965285344326,316,160,10.0,0.7
52,8.133598356410849e-09,6.615542222340925e-17,0.32648608533108814,238,160,10.0,0.7
53,9.40025410242006e-10,8.836477719006517e-19,0.0,200,160,10.0,0.7
54,6.298227578392532e-10,3.966767062922425e-19,0.0,137,160,10.0,0.7
55,3.7585614155152133e-10,1.4126783914199724e-19,0.0,191,160,10.0,0.7
56,8.961013457805643e-10,8.029976219097384e-19,0.0,316,160,10.0,0.7
57,8.905008604645073e-10,7.929917824880279e-19,0.0,238,160,10.0,0.7
58,2.816445155414006e-09,7.932363313455025e-18,0.0,200,160,10.0,0.7
59,1.7169224851349e-08,2.9478228199618e-16,0.0,137,160,10.0,0.7
60,9.343058770049915e-08,8.729274718060663e-15,-44.55205340548309,191,160,10.0,0.7
