raw_file,n_samples,sfreq,n_windows,win_sec,step_sec
sub-NDARAA306NT2_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAA306NT2_DiaryOfAWimpyKid_raw.npy,58698,128.0,457,2.0,1.0
sub-NDARAA306NT2_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAA306NT2_ThePresent_raw.npy,101640,128.0,793,2.0,1.0
sub-NDARAA504CRN_DespicableMe_raw.npy,85279,128.0,665,2.0,1.0
sub-NDARAA504CRN_DiaryOfAWimpyKid_raw.npy,58698,128.0,457,2.0,1.0
sub-NDARAA504CRN_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAA504CRN_ThePresent_raw.npy,101639,128.0,793,2.0,1.0
sub-NDARAA947ZG5_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAA948VFH_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAA948VFH_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAA948VFH_FunwithFractals_raw.npy,81494,128.0,635,2.0,1.0
sub-NDARAA948VFH_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAA948VFH_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAB055BPR_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAB055BPR_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAB055BPR_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAB055BPR_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAB055BPR_ThePresent_raw.npy,101538,128.0,792,2.0,1.0
sub-NDARAB348EWR_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAB348EWR_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAB348EWR_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAB348EWR_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAB348EWR_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAB458VK9_DespicableMe_raw.npy,85276,128.0,665,2.0,1.0
sub-NDARAB458VK9_DiaryOfAWimpyKid_raw.npy,58700,128.0,457,2.0,1.0
sub-NDARAB458VK9_FunwithFractals_raw.npy,81500,128.0,635,2.0,1.0
sub-NDARAB458VK9_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAB458VK9_ThePresent_raw.npy,101534,128.0,792,2.0,1.0
sub-NDARAB514MAJ_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAB514MAJ_DiaryOfAWimpyKid_raw.npy,58703,128.0,457,2.0,1.0
sub-NDARAB514MAJ_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAB514MAJ_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAB514MAJ_ThePresent_raw.npy,101644,128.0,793,2.0,1.0
sub-NDARAB708LM5_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAB756JDJ_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAB756JDJ_FunwithFractals_raw.npy,81495,128.0,635,2.0,1.0
sub-NDARAB756JDJ_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAB793GL3_DespicableMe_raw.npy,85275,128.0,665,2.0,1.0
sub-NDARAB793GL3_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAB793GL3_FunwithFractals_raw.npy,81501,128.0,635,2.0,1.0
sub-NDARAB793GL3_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAB793GL3_ThePresent_raw.npy,101536,128.0,792,2.0,1.0
sub-NDARAB977GFB_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAB977GFB_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAB977GFB_FunwithFractals_raw.npy,81494,128.0,635,2.0,1.0
sub-NDARAB977GFB_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAB977GFB_ThePresent_raw.npy,93194,128.0,727,2.0,1.0
sub-NDARAC349YUC_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAC349YUC_DiaryOfAWimpyKid_raw.npy,58701,128.0,457,2.0,1.0
sub-NDARAC349YUC_FunwithFractals_raw.npy,81496,128.0,635,2.0,1.0
sub-NDARAC349YUC_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC349YUC_ThePresent_raw.npy,101538,128.0,792,2.0,1.0
sub-NDARAC350BZ0_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAC350BZ0_DiaryOfAWimpyKid_raw.npy,58695,128.0,457,2.0,1.0
sub-NDARAC350BZ0_FunwithFractals_raw.npy,81498,128.0,635,2.0,1.0
sub-NDARAC350BZ0_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC350BZ0_ThePresent_raw.npy,101533,128.0,792,2.0,1.0
sub-NDARAC350XUM_DespicableMe_raw.npy,85276,128.0,665,2.0,1.0
sub-NDARAC350XUM_DiaryOfAWimpyKid_raw.npy,58700,128.0,457,2.0,1.0
sub-NDARAC350XUM_FunwithFractals_raw.npy,81496,128.0,635,2.0,1.0
sub-NDARAC350XUM_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC350XUM_ThePresent_raw.npy,101536,128.0,792,2.0,1.0
sub-NDARAC462DZH_DespicableMe_raw.npy,85277,128.0,665,2.0,1.0
sub-NDARAC462DZH_DiaryOfAWimpyKid_raw.npy,58697,128.0,457,2.0,1.0
sub-NDARAC462DZH_FunwithFractals_raw.npy,81497,128.0,635,2.0,1.0
sub-NDARAC462DZH_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC462DZH_ThePresent_raw.npy,101532,128.0,792,2.0,1.0
sub-NDARAC589YMB_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAC589YMB_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAC589YMB_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC589YMB_ThePresent_raw.npy,101638,128.0,793,2.0,1.0
sub-NDARAC853CR6_DespicableMe_raw.npy,85274,128.0,665,2.0,1.0
sub-NDARAC853CR6_DiaryOfAWimpyKid_raw.npy,58698,128.0,457,2.0,1.0
sub-NDARAC853CR6_FunwithFractals_raw.npy,81499,128.0,635,2.0,1.0
sub-NDARAC853CR6_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC853CR6_ThePresent_raw.npy,101639,128.0,793,2.0,1.0
sub-NDARAC853DTE_DespicableMe_raw.npy,85273,128.0,665,2.0,1.0
sub-NDARAC853DTE_DiaryOfAWimpyKid_raw.npy,58699,128.0,457,2.0,1.0
sub-NDARAC853DTE_FunwithFractals_raw.npy,81493,128.0,635,2.0,1.0
sub-NDARAC853DTE_RestingState_raw.npy,135001,128.0,1053,2.0,1.0
sub-NDARAC853DTE_ThePresent_raw.npy,101537,128.0,792,2.0,1.0
